date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:43	110/110	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Mar%202026%2011:17:54%20GMT	https://www.saiinternational.edu.in/robots.txt		(from )
16:47:44	375800/375800	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:17:54%20GMT	https://www.saiinternational.edu.in/	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/index.html	(from )
16:47:45	1614/1614	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e2587b2e2da1e330278bb94fa43af83d%22	https://www.saiinternational.edu.in/favicon.svg	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/favicon.svg	(from https://www.saiinternational.edu.in/)
16:47:45	51690/51690	---M--	200	added ('OK')	image/jpeg	etag:%22919b0b0df62ac87cb49c9678f6f4532b%22	https://www.saiinternational.edu.in/images/og/home-og.jpg	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/images/og/home-og.jpg	(from https://www.saiinternational.edu.in/)
16:47:45	4500/4500	---MCZ	200	added ('OK')	text/css	etag:W/%227e1e0fa4ff269ed742750558bee6083e%22	https://www.saiinternational.edu.in/_astro/index.BrtvnVys.css?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/_astro/index.BrtvnVys7f26.css	(from https://www.saiinternational.edu.in/)
16:47:46	83000/83000	---MCZ	200	added ('OK')	text/css	etag:W/%2205c191fcf0f86f73d0920205f1d97c12%22	https://www.saiinternational.edu.in/_astro/index.CTU-SLsF.css?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/_astro/index.CTU-SLsF7f26.css	(from https://www.saiinternational.edu.in/)
16:47:46	8964/8964	---M--	200	added ('OK')	image/png	etag:%22310c6c8592d41674c0f5c9974d8dab1b%22	https://www.saiinternational.edu.in/images/sai-brand-logo.png?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/images/sai-brand-logo7f26.png	(from https://www.saiinternational.edu.in/)
16:47:47	241704/241704	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:17:58%20GMT	https://www.saiinternational.edu.in/about	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/about.html	(from https://www.saiinternational.edu.in/)
16:47:48	156270/156270	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:17:59%20GMT	https://www.saiinternational.edu.in/media/news-and-blogs	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/media/news-and-blogs.html	(from https://www.saiinternational.edu.in/)
16:47:49	132029/132029	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:17:59%20GMT	https://www.saiinternational.edu.in/contact-us	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/contact-us.html	(from https://www.saiinternational.edu.in/)
16:47:50	256/256	---M--	200	added ('OK')	application/javascript	etag:%2295609da88c66f88e5d57a50c45dd2bd9%22	https://www.saiinternational.edu.in/_astro/Navbar.astro_astro_type_script_index_0_lang.xb7BkD6l.js	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/_astro/Navbar.astro_astro_type_script_index_0_lang.xb7BkD6l.js	(from https://www.saiinternational.edu.in/)
16:47:50	166419/166419	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:00%20GMT	https://www.saiinternational.edu.in/admissions	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/admissions.html	(from https://www.saiinternational.edu.in/)
16:47:50	1676/1676	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f969b90e1b976c192f24aba07e4be008%22	https://www.saiinternational.edu.in/icons/home.svg?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/icons/home7f26.svg	(from https://www.saiinternational.edu.in/)
16:47:51	2076/2076	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dccfc012657906aba98c8a17244bbc45%22	https://www.saiinternational.edu.in/icons/about.svg?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/icons/about7f26.svg	(from https://www.saiinternational.edu.in/)
16:47:52	102434/102434	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:02%20GMT	https://www.saiinternational.edu.in/about/vision-mission-values	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/about/vision-mission-values.html	(from https://www.saiinternational.edu.in/)
16:47:52	166152/166152	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:03%20GMT	https://www.saiinternational.edu.in/about/learning-and-beyond	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/about/learning-and-beyond.html	(from https://www.saiinternational.edu.in/)
16:47:53	4030/4030	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260a8520285b60095ff7ccb89eb173013%22	https://www.saiinternational.edu.in/icons/admissions.svg?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/icons/admissions7f26.svg	(from https://www.saiinternational.edu.in/)
16:47:53	99903/99903	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:04%20GMT	https://www.saiinternational.edu.in/about/affiliations	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/about/affiliations.html	(from https://www.saiinternational.edu.in/)
16:47:53	4624/4624	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224ae763e574603fe84062d47708827d0f%22	https://www.saiinternational.edu.in/icons/results.svg?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/icons/results7f26.svg	(from https://www.saiinternational.edu.in/)
16:47:54	96915/96915	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:05%20GMT	https://www.saiinternational.edu.in/results/cbse-12th	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/results/cbse-12th.html	(from https://www.saiinternational.edu.in/)
16:47:56	1516792/1516792	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:06%20GMT	https://www.saiinternational.edu.in/results/cbse-10th	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/results/cbse-10th.html	(from https://www.saiinternational.edu.in/)
16:47:56	95569/95569	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:06%20GMT	https://www.saiinternational.edu.in/results/career-results	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/results/career-results.html	(from https://www.saiinternational.edu.in/)
16:47:56	105187/105187	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:07%20GMT	https://www.saiinternational.edu.in/results/placements	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/results/placements.html	(from https://www.saiinternational.edu.in/)
16:47:57	5538/5538	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a85e81c3518ce6f0c4122fa26883891f%22	https://www.saiinternational.edu.in/icons/globe.svg?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/icons/globe7f26.svg	(from https://www.saiinternational.edu.in/)
16:47:57	98792/98792	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:08%20GMT	https://www.saiinternational.edu.in/global-connect/global-vision	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/global-connect/global-vision.html	(from https://www.saiinternational.edu.in/)
16:47:58	103450/103450	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:09%20GMT	https://www.saiinternational.edu.in/global-connect/global-programs	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/global-connect/global-programs.html	(from https://www.saiinternational.edu.in/)
16:47:59	117085/117085	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:09%20GMT	https://www.saiinternational.edu.in/global-connect/global-partners	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/global-connect/global-partners.html	(from https://www.saiinternational.edu.in/)
16:47:59	5788/5788	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2247ea0c01fa3c18180941db3d067ef268%22	https://www.saiinternational.edu.in/icons/leaders.svg?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/icons/leaders7f26.svg	(from https://www.saiinternational.edu.in/)
16:47:59	99344/99344	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:10%20GMT	https://www.saiinternational.edu.in/ap-exams	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/ap-exams.html	(from https://www.saiinternational.edu.in/)
16:48:00	170059/170059	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:11%20GMT	https://www.saiinternational.edu.in/student-leaders/student-council	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/student-leaders/student-council.html	(from https://www.saiinternational.edu.in/)
16:48:01	2417/2417	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2272b4cee5a9ec34e0340945e537289aef%22	https://www.saiinternational.edu.in/icons/media.svg?dpl=dpl_5SJVnLLKS7j426gepwpL1goKddDd	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/icons/media7f26.svg	(from https://www.saiinternational.edu.in/)
16:48:01	120787/120787	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:12%20GMT	https://www.saiinternational.edu.in/student-leaders/global-sioneers	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/student-leaders/global-sioneers.html	(from https://www.saiinternational.edu.in/)
16:48:02	120152/120152	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:13%20GMT	https://www.saiinternational.edu.in/media/albums	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/media/albums.html	(from https://www.saiinternational.edu.in/)
16:48:03	99232/99232	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:13%20GMT	https://www.saiinternational.edu.in/media/radio-orange	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/media/radio-orange.html	(from https://www.saiinternational.edu.in/)
16:48:03	98832/98832	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:14%20GMT	https://www.saiinternational.edu.in/media/sai-tv	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/media/sai-tv.html	(from https://www.saiinternational.edu.in/)
16:48:04	100807/100807	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:14%20GMT	https://www.saiinternational.edu.in/admissions/transfer-certificates	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/admissions/transfer-certificates.html	(from https://www.saiinternational.edu.in/)
16:48:04	100922/100922	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2011:18:15%20GMT	https://www.saiinternational.edu.in/admissions/guideline	C:/My%20Web%20Sites/1/www.saiinternational.edu.in/admissions/guideline.html	(from https://www.saiinternational.edu.in/)
